Date,Collection,Temperature,ActualT,MinT
1/22/20,1/21/20,4,4,4
1/22/20,1/21/20,-10,-10.5,-10.7
1/22/20,1/21/20,-30,-31.1,-33.6
1/22/20,1/21/20,-40,-42.2,-44.2
1/22/20,1/21/20,-50,-53,-55.1
2/11/20,2/10/20,4,4,4
2/11/20,2/10/20,-10,-10.3,-10.3
2/11/20,2/10/20,-20,-20.2,-20.4
2/11/20,2/10/20,-30,-31.1,-33.5
2/11/20,2/10/20,-40,-42,-43.7
2/11/20,2/10/20,-60,-63,-63.4
2/11/20,2/10/20,-80,-79.9,-80.7
2/12/20,2/10/20,4,4,4
2/12/20,2/10/20,-10,-10.7,-10.8
2/12/20,2/10/20,-20,-20.7,-20.9
2/12/20,2/10/20,-30,-31.7,-34
2/12/20,2/10/20,-40,-43,-44.8
2/12/20,2/10/20,-60,-63.8,-64.6
2/12/20,2/10/20,-80,-79.5,-81.4
3/3/20,3/2/20,4,4,4
3/3/20,3/2/20,-10,-10.5,-10.8
3/3/20,3/2/20,-20,-21,-23
3/3/20,3/2/20,-30,-31.5,-33.8
3/3/20,3/2/20,-40,-42.4,-44.3
3/3/20,3/2/20,-60,-63.8,-64.9
3/3/20,3/2/20,-80,-81.3,-82.1
3/14/20,3/13/20,4,4,4
3/14/20,3/13/20,-10,-10.4,-10.5
3/14/20,3/13/20,-20,-20.1,-22.9
3/14/20,3/13/20,-30,-31.1,-33.2
3/14/20,3/13/20,-40,-42.3,-43.8
3/14/20,3/13/20,-60,-63.7,-64.4
3/14/20,3/13/20,-80,-80.4,-81.4
3/15/20,3/13/20,4,4,4
3/15/20,3/13/20,-10,-10.6,-10.7
3/15/20,3/13/20,-20,-20.9,-23
3/15/20,3/13/20,-30,-31.1,-33.5
3/15/20,3/13/20,-40,-42.4,-43.9
3/15/20,3/13/20,-60,-63.7,-64.3
3/15/20,3/13/20,-80,-80.2,-81.7
2/3/20,2/3/20,4,4,4
2/3/20,2/3/20,-10,-10.1,-10.1
2/3/20,2/3/20,-20,-20.6,-22.7
2/3/20,2/3/20,-30,-31.3,-33.6
2/3/20,2/3/20,-40,-42.4,-44.3
2/3/20,2/3/20,-50,-52.9,-53.9
2/3/20,2/3/20,-70,-72.5,-72.8
2/3/20,2/3/20,-80,-81.6,-82.9