"","Method","Accession","Species","b","d","e","twenty","fifty","eighty","absfif"
"1","Rt_Nitrogen_zeroed","1115-76 A","TATA",-3.41215432112724,59.8307606524053,22.8739278687012,-5.2368445713864,-12.8739278687012,-24.3389061751739,4.35813380482161
"2","Rt_Nitrogen_zeroed","115-2000 A","TATA",-2.70794382080954,53.7247236865027,29.4782289114878,-7.6673062646389,-19.4782289114878,-39.1849728952346,4.74091725964756
"3","Rt_Nitrogen_zeroed","122-2003 B","DAVI",-6.80397513076658,81.000838857629,25.5258796309083,-10.8206464802576,-15.5258796309083,-21.294442828634,-2.095851292001
"4","Rt_Nitrogen_zeroed","124-2005 C","SPIC",-2.31287289847916,63.8933403375828,25.448106351594,-3.9748508079609,-15.448106351594,-36.3408250850967,6.8640808947097
"5","Rt_Nitrogen_zeroed","126-2003 B","DAVI",-4.06973429389515,73.3874950558293,30.7595669045726,-11.8798464899834,-20.7595669045726,-33.2430344787851,0.9566766813386
"6","Rt_Nitrogen_zeroed","1400-77 E","TEGM",-4.680737614339,61.9773523453278,26.8551042225645,-9.9710922363947,-16.8551042225645,-26.1120270372851,0.393383221171611
"7","Rt_Nitrogen_zeroed","172-2001 B","CAMP",-6.39295306299117,64.1431189096741,33.4772797888272,-16.9509819457385,-23.4772797888272,-31.5839491234801,-5.6861204458936
"8","Rt_Nitrogen_zeroed","187-2006 B","SACC",-1.84344155038116,72.0925830487442,45,-11.2137215390147,-35,-85.4570840517431,6.95409581175777
"9","Rt_Nitrogen_zeroed","19634 A","PSEP",-4.68820709367279,59.7741083438036,32.9567222146286,-14.520194927398,-22.9567222146286,-34.295958590385,-1.900899887894
"10","Rt_Nitrogen_zeroed","207-2005 A","RUBR",-5.24454037831836,35.0320780406041,25.6682909564037,-9.7060453902556,-15.6682909564037,-23.4344688431701,-1.4471771259767
"11","Rt_Nitrogen_zeroed","22858 B","PSEP",-7.2606251659002,63.3396131440552,29.1635421434289,-14.0945621324162,-19.1635421434289,-25.2989270225127,-4.9868519392827
"12","Rt_Nitrogen_zeroed","246-2010 A","SACC",-5.08727895313851,58.2190307583193,36.2054330898701,-17.5694165099732,-26.2054330898701,-37.5466495546204,-4.2357516581085
"13","Rt_Nitrogen_zeroed","270-2010 A","SPIC",-3.23182472706823,53.5038670600989,33.9710128789366,-12.1216468726832,-23.9710128789366,-42.1674413601604,1.97540652521666
"14","Rt_Nitrogen_zeroed","31-73 A","HYRC",-3.74621477308143,74.7153048618553,32.7603821442118,-12.627543413771,-22.7603821442118,-37.4308067212293,1.37635380803009
"15","Rt_Nitrogen_zeroed","31-73 B","HYRC",-3.31736536700753,77.5579998812103,29.9754543583171,-9.7368746067774,-19.9754543583171,-35.5253368068219,3.43473699223953
"16","Rt_Nitrogen_zeroed","31-73 C","HYRC",-3.29295610105071,62.5593826172555,36.217099939465,-13.7728358086973,-26.217099939465,-45.1755095008614,1.62354543743155
"17","Rt_Nitrogen_zeroed","33-95 B","TEGM",-2.70035082901411,59.1985789899859,25.5147132778726,-5.2698397907568,-15.5147132778726,-32.6330991400523,5.63131797888688
"18","Rt_Nitrogen_zeroed","379-2007 A","CAMP",-3.39109062765348,65.8522334657146,31.7860108570969,-11.1200201615266,-21.7860108570969,-37.8385190203555,2.44625463768049
"19","Rt_Nitrogen_zeroed","435-84 A","CAUD",-6.97267369852316,83.8040077666967,21.6146730037525,-7.7175238926904,-11.6146730037525,-16.3690395954196,-0.378143994562601
"20","Rt_Nitrogen_zeroed","435-84 B","CAUD",-9.5237169219731,64.1955453665457,23.4070654203325,-10.2362508905322,-13.4070654203325,-17.0747143112395,-4.0703603083755
"21","Rt_Nitrogen_zeroed","435-84 C","CAUD",-27.8255265560239,68.3947321316713,20.6359214486399,-9.6330105227278,-10.6359214486399,-11.6900639635204,-7.2970662079678
"22","Rt_Nitrogen_zeroed","524-2009 A","RUBR",-33.4743198849057,47.1074290857857,20.7175509064461,-9.8770846518171,-10.7175509064461,-11.5935547430468,-8.0926720690068
"23","Rt_Nitrogen_zeroed","530-2008 A","SACC",-8.7154269092863,29.8594625447394,33.0495311399086,-18.1893782899148,-23.0495311399086,-28.7476267597773,-10.7117761867845
"24","Rt_Nitrogen_zeroed","531-94 A","TEGM",-6.09636213909726,56.0248911798352,28.0895497096315,-12.3762611575269,-18.0895497096315,-25.2616014505376,-2.9722080135584
"25","Rt_Nitrogen_zeroed","567-2008 B","RUBR",-3.63598291282593,52.7075946832473,30.8956702527566,-11.101522300856,-20.8956702527566,-35.2357145971573,1.39641451159079
"26","Rt_Nitrogen_zeroed","603-2008 A","SPIC",-4.11477056101281,55.1893670431133,32.592268662626,-13.2700763704315,-22.592268662626,-35.6490111878861,-0.4135550814342
"27","Rt_Nitrogen_zeroed","666-94 A","DAVI",-8.5674195945643,79.0814966608236,26.2740315800158,-12.3487644143569,-16.2740315800158,-20.8887204083731,-4.5601532703391
"28","Rt_Nitrogen_zeroed","699-89 A","CAMP",-4.54752434677487,64.0402998291113,40.8047182961466,-20.0827456540888,-30.8047182961466,-45.3481738127708,-4.0612404581575
"29","Rt_Nitrogen_zeroed","750-55 B","PSEP",-5.83109556506914,44.4295701875595,28.4127980823671,-12.4008301090671,-18.4127980823671,-26.0382669275547,-3.1875921320104
"30","Rt_Nitrogen_zeroed","78-2000 B","TATA",-4.21535995800654,49.6727130631663,32.3740570707149,-13.3008541818856,-22.3740570707149,-34.9803068607115,-0.9008586976808
"31","Rt_Nitrogen_zeroed","Bussey1","NEGU",-3.42428667432065,73.0806380417338,28.354269307937,-8.9146322848861,-18.354269307937,-32.504901807128,3.37341663876016
"32","Rt_Nitrogen_zeroed","Bussey2","NEGU",-2.37058140016175,75.3273816685004,38.8061687429037,-11.6236657499093,-28.8061687429037,-59.6421573436978,5.30791219332365
"33","Rt_Nitrogen_zeroed","Bussey3","NEGU",-1.69513686266026,74.5973325196823,45,-9.8629411954383,-35,-91.948647991016,7.64175600064976
"34","Rt_Nitrogen_zeroed","Weld1","PLAT",-4.83026265019978,52.5356921593558,32.9428895656632,-14.7239790334983,-22.9428895656632,-33.8939853275684,-2.5926594627928
"35","Rt_Nitrogen_zeroed","Weld2","PLAT",-2.89173667594701,63.4216142410623,34.6050634423241,-11.4259213378862,-24.6050634423241,-45.8907314631921,3.49883352011283
"36","Rt_Nitrogen_zeroed","Weld3","PLAT",-3.41267393385962,59.8093278009577,34.7067027436293,-13.1203557308786,-24.7067027436293,-42.0993374563822,1.43684249446194
